ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
324,Sonoran-Sinaloan subtropical dry forest,20,4.1,18,-15.9,-13.9,No
326,Sierra Madre Occidental pine-oak forests,20,6.3,18,-13.7,-11.7,No
327,Sierra Madre Oriental pine-oak forests,10.5,9.9,9.45,-0.6,0.45,No
328,Allegheny Highlands forests,12.5,16.8,11.25,4.3,5.55,Yes
329,Appalachian mixed mesophytic forests,12.5,18.2,11.25,5.7,6.95,Yes
330,Appalachian Piedmont forests,12.5,15.5,11.25,3,4.25,Yes
331,Appalachian-Blue Ridge forests,12.5,17.4,11.25,4.9,6.15,Yes
332,East Central Texas forests,12.5,16.8,11.25,4.3,5.55,Yes
333,Eastern Canadian Forest-Boreal transition,12.5,7.4,11.25,-5.1,-3.85,No
334,Eastern Great Lakes lowland forests,12.5,12.5,11.25,0,1.25,Yes
335,Gulf of St. Lawrence lowland forests,12.5,5.4,11.25,-7.1,-5.85,No
336,Interior Plateau US Hardwood Forests,12.5,19.2,11.25,6.7,7.95,Yes
337,Mississippi lowland forests,12.5,15.1,11.25,2.6,3.85,Yes
338,New England-Acadian forests,9.3,8.3,8.37,-1,-0.07,No
339,Northeast US Coastal forests,11.8,16,10.62,4.2,5.38,Yes
340,Ozark Highlands mixed forests,12.5,18.1,11.25,5.6,6.85,Yes
341,Ozark Mountain forests,12.5,16.6,11.25,4.1,5.35,Yes
342,Southern Great Lakes forests,12.5,17.4,11.25,4.9,6.15,Yes
343,Upper Midwest US forest-savanna transition,12.5,11.5,11.25,-1,0.25,No
344,Western Great Lakes forests,5.6,7,5.04,1.4,1.96,Yes
345,Alberta-British Columbia foothills forests,7.5,1.3,6.75,-6.2,-5.45,No
346,Arizona Mountains forests,3.7,3.8,3.33,0.1,0.47,Yes
347,Atlantic coastal pine barrens,7.5,16.9,6.75,9.4,10.15,Yes
348,Blue Mountains forests,3.7,3.4,3.33,-0.3,0.07,No
349,British Columbia coastal conifer forests,7.5,1.4,6.75,-6.1,-5.35,No
350,Central British Columbia Mountain forests,0.6,0.8,0.54,0.2,0.26,Yes
351,Central Pacific Northwest coastal forests,2.6,2.3,2.34,-0.3,-0.04,No
352,Central-Southern Cascades Forests,4.4,3.6,3.96,-0.8,-0.36,No
353,Colorado Rockies forests,6.2,5.1,5.58,-1.1,-0.48,No
354,Eastern Cascades forests,7.5,3.2,6.75,-4.3,-3.55,No
355,Fraser Plateau and Basin conifer forests,7.5,1.4,6.75,-6.1,-5.35,No
356,Great Basin montane forests,7.5,2.9,6.75,-4.6,-3.85,No
357,Klamath-Siskiyou forests,7.5,2.9,6.75,-4.6,-3.85,No
358,North Cascades conifer forests,7.5,3.5,6.75,-4,-3.25,No
359,Northern California coastal forests,4.4,3.2,3.96,-1.2,-0.76,No
360,Northern Pacific Alaskan coastal forests,7.5,0.6,6.75,-6.9,-6.15,No
361,Northern Rockies conifer forests,2.6,2.4,2.34,-0.2,0.06,No
362,Okanogan dry forests,2,2.5,1.8,0.5,0.7,Yes
363,Piney Woods,7.5,15.4,6.75,7.9,8.65,Yes
364,Puget lowland forests,7.5,3.1,6.75,-4.4,-3.65,No
365,Queen Charlotte Islands conifer forests,7.5,0.8,6.75,-6.7,-5.95,No
366,Sierra Nevada forests,7.5,4.5,6.75,-3,-2.25,No
367,South Central Rockies forests,7.5,3.7,6.75,-3.8,-3.05,No
368,Wasatch and Uinta montane forests,7.5,3.7,6.75,-3.8,-3.05,No
369,Alaska Peninsula montane taiga,7.5,0.5,6.75,-7,-6.25,No
370,Central Canadian Shield forests,7.5,3.7,6.75,-3.8,-3.05,No
371,Cook Inlet taiga,7.5,0.4,6.75,-7.1,-6.35,No
372,Copper Plateau taiga,7.5,0.3,6.75,-7.2,-6.45,No
373,Eastern Canadian forests,7.5,2.8,6.75,-4.7,-3.95,No
374,Eastern Canadian Shield taiga,1.6,1.3,1.44,-0.3,-0.14,No
375,Interior Alaska-Yukon lowland taiga,7.5,0.3,6.75,-7.2,-6.45,No
376,Mid-Canada Boreal Plains forests,7.5,2.2,6.75,-5.3,-4.55,No
377,Midwest Canadian Shield forests,3.5,2,3.15,-1.5,-1.15,No
378,Muskwa-Slave Lake taiga,0.7,0.5,0.63,-0.2,-0.13,No
379,Northern Canadian Shield taiga,7.5,0.6,6.75,-6.9,-6.15,No
380,Northern Cordillera forests,7.5,0.5,6.75,-7,-6.25,No
381,Northwest Territories taiga,7.5,0.3,6.75,-7.2,-6.45,No
382,Southern Hudson Bay taiga,1.6,1.7,1.44,0.1,0.26,Yes
383,Watson Highlands taiga,7.5,0.4,6.75,-7.1,-6.35,No
384,Western Gulf coastal grasslands,15,13.9,13.5,-1.1,0.4,No
385,California Central Valley grasslands,6.6,5.7,5.94,-0.9,-0.24,No
386,Canadian Aspen forests and parklands,5.3,6.6,4.77,1.3,1.83,Yes
387,Central US forest-grasslands transition,15,17.9,13.5,2.9,4.4,Yes
388,Central Tallgrass prairie,15,16.6,13.5,1.6,3.1,Yes
389,Central-Southern US mixed grasslands,15,16.2,13.5,1.2,2.7,Yes
390,Cross-Timbers savanna-woodland,15,17.3,13.5,2.3,3.8,Yes
391,Edwards Plateau savanna,12.4,12.4,11.16,0,1.24,Yes
392,Flint Hills tallgrass prairie,15,19.3,13.5,4.3,5.8,Yes
393,Mid-Atlantic US coastal savannas,12.9,14.3,11.61,1.4,2.69,Yes
394,Montana Valley and Foothill grasslands,5.1,3.7,4.59,-1.4,-0.89,No
395,Nebraska Sand Hills mixed grasslands,10,11.6,9,1.6,2.6,Yes
396,Northern Shortgrass prairie,6.8,6.3,6.12,-0.5,0.18,No
397,Northern Tallgrass prairie,10,7.1,9,-2.9,-1.9,No
398,Palouse prairie,4,4,3.6,0,0.4,Yes
399,Southeast US conifer savannas,15,13.1,13.5,-1.9,-0.4,No
401,Texas blackland prairies,15,16.9,13.5,1.9,3.4,Yes
402,Western shortgrass prairie,9.1,10,8.19,0.9,1.81,Yes
403,Willamette Valley oak savanna,3.6,3.8,3.24,0.2,0.56,Yes
404,Ahklun and Kilbuck Upland Tundra,10,0.4,9,-9.6,-8.6,No
405,Alaska-St. Elias Range tundra,10,0.3,9,-9.7,-8.7,No
406,Aleutian Islands tundra,10,0.7,9,-9.3,-8.3,No
407,Arctic coastal tundra,10,0.1,9,-9.9,-8.9,No
408,Arctic foothills tundra,10,0.1,9,-9.9,-8.9,No
