ADM0_NAME,value,metric,flow_name
Fiji,,cf_median,Broadleaf_Deciduous_Boreal_dry
Finland,0.005624657169124463,cf_median,Broadleaf_Deciduous_Boreal_dry
France,,cf_median,Broadleaf_Deciduous_Boreal_dry
French Guiana,,cf_median,Broadleaf_Deciduous_Boreal_dry
French Polynesia,,cf_median,Broadleaf_Deciduous_Boreal_dry
French Southern and Antarctic Territories,,cf_median,Broadleaf_Deciduous_Boreal_dry
Gabon,,cf_median,Broadleaf_Deciduous_Boreal_dry
Gambia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Gaza Strip,,cf_median,Broadleaf_Deciduous_Boreal_dry
Georgia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Germany,,cf_median,Broadleaf_Deciduous_Boreal_dry
Ghana,,cf_median,Broadleaf_Deciduous_Boreal_dry
Gibraltar,,cf_median,Broadleaf_Deciduous_Boreal_dry
Glorioso Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Greece,,cf_median,Broadleaf_Deciduous_Boreal_dry
Greenland,,cf_median,Broadleaf_Deciduous_Boreal_dry
Grenada,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guadeloupe,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guam,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guatemala,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guernsey,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guinea,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guinea-Bissau,,cf_median,Broadleaf_Deciduous_Boreal_dry
Guyana,,cf_median,Broadleaf_Deciduous_Boreal_dry
Haiti,,cf_median,Broadleaf_Deciduous_Boreal_dry
Hala'ib triangle,,cf_median,Broadleaf_Deciduous_Boreal_dry
Heard Island and McDonald Islands,,cf_median,Broadleaf_Deciduous_Boreal_dry
Holy See,,cf_median,Broadleaf_Deciduous_Boreal_dry
Honduras,,cf_median,Broadleaf_Deciduous_Boreal_dry
Hong Kong,,cf_median,Broadleaf_Deciduous_Boreal_dry
Howland Island,,cf_median,Broadleaf_Deciduous_Boreal_dry
Hungary,,cf_median,Broadleaf_Deciduous_Boreal_dry
Iceland,0.0883855157044528,cf_median,Broadleaf_Deciduous_Boreal_dry
Ilemi triangle,,cf_median,Broadleaf_Deciduous_Boreal_dry
India,,cf_median,Broadleaf_Deciduous_Boreal_dry
Indonesia,,cf_median,Broadleaf_Deciduous_Boreal_dry
Iran  (Islamic Republic of),,cf_median,Broadleaf_Deciduous_Boreal_dry
Iraq,,cf_median,Broadleaf_Deciduous_Boreal_dry
Ireland,,cf_median,Broadleaf_Deciduous_Boreal_dry
Isle of Man,,cf_median,Broadleaf_Deciduous_Boreal_dry
Israel,,cf_median,Broadleaf_Deciduous_Boreal_dry
Italy,,cf_median,Broadleaf_Deciduous_Boreal_dry
